parts,qt,$,link
frame(mark4),1,25,https://rees52.com/products/readytosky-mark4-5-inch-225mm-carbon-fiber-frame-kit-fpv-drone-frame-kit-durable-and-lightweight-for-fpv-racing-drone?variant=46542676951207&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorAG2-fbyIvlotsaZbmQ6rKEPl-wTzgh1BHsVigBXoTJznpDW1GbJY
motor (ECO II Series 2207 1700KV Brushless Motor),1,80,https://evelta.com/emax-ecoii-series-2207-1700kv-brushless-motor/?srsltid=AfmBOorOw81bsACJ_UUuozQHTw40pijvAoz0lohxZ_SlVws_rjTm6z2I
esc + fc(speedybee f405 v4 stack),1,81.25,https://www.quadkart.in/speedybee-f405-v4-stack-f4-v4-fc/?srsltid=AfmBOor1VC6yuzw2xHIO9HbIUSMgKnD5r8bJu2ef0D7ClG3cFJzRYO32&utm_source=chatgpt.com
happymodel ep1,1,15,https://www.quadkart.in/happymodel-expresslrs-nano-2-4ghz-ep1-rx/?srsltid=AfmBOooPxTzsd28Sfslst6A92ChSjnA37ajUcE1k4MoAO-BgsXNUvpPq
props(3 blade),6,15,https://robu.in/product/orange-hd-51466-v2-hurricane-pc-3-blade-wave-blue/?gad_source=1&gad_campaignid=17419548928&gbraid=0AAAAADvLFWfCi4wK6_0B1RXsA9pU-x7ek&gclid=CjwKCAjwp_LDBhBCEiwAK7FnkkMsSTAqsVFhERyemP0L8Qs3O3Ljp1w4_LhoChybZm8iGx7FB_8hsRoC33YQAvD_BwE
battery (6S 1300mAh 120C LiPo),1,27.5,https://www.quadkart.in/cnhl-black-series-v2-0-1300mah-22-2v-6s-130c-lipo-battery/
transmitter(radiomaster pocket erls),1,68.75,https://rcmumbai.com/products/radiomaster-pocket?variant=50865394483481
camera,1,18.75,https://www.quadkart.in/runcam-phoenix-2-sp-v4-micro-camera/?srsltid=AfmBOoo7G52zvYGcBetMO50EI_M8Oh9zxZSSbVPCqJ-0kKt9VwquxIyJiU0
vtx,1,18,https://www.akktek.com/akk-fx3.html?srsltid=AfmBOorQsJ8d_P48cDSeAeVYeBYxxJEHNgIUr0XB4qBimGJ6_UxeEpM7
antenna,2,7.5,https://robu.in/product/runcam-5-8-ghz-antenna-mmcx-l-1pcs/?gad_source=1&gad_campaignid=17419548928&gbraid=0AAAAADvLFWfrkOcQJA4xL6TzxLWqNfjt_&gclid=Cj0KCQjwkILEBhDeARIsAL--pjxBT9bMQeuaPmhtIZEZlxcNlMl9HMGIf4otWgQGqUjPvVKSMNld_48aApPaEALw_wcB
connecting thing,1,1.5,https://www.drkstore.in/amass-12awg-10cm-pigtail-cable-male-female/?attribute_pa_connector=male&gad_source=1&gad_campaignid=20102142213&gbraid=0AAAAAoK8pUjiMhVQb10dUA7Xd9QAoNwmL&gclid=Cj0KCQjwkILEBhDeARIsAL--pjw8y1sZczSoyzjjytxeUlgEu3QTbkB5pOM183RkEx6OLjlYW2Ul5CQaAn75EALw_wcB
receiver for goggles,1,25,https://www.electronicscomp.com/diy-rx5808-5.8g-40ch-diversity-fpv-receiver-with-oled-display-for-fpv-racer-quad?utm_source=chatgpt.com
screen,1,11.25,https://www.industrybuying.com/car-accessories-allextreme-AUT.CAR.528135752?utm_source=Google&utm_medium=PLA&utm_campaign=PLA_Longtail_GSTNonPref_Exp&gad_source=1&gad_campaignid=21071916885&gbraid=0AAAAADesIl-szzDaE16MjdTBH13NyXRF6&gclid=Cj0KCQjw4qHEBhCDARIsALYKFNMoGBEYsCCdMWrF0DSC852D0fYLuckV81NCZplINH6W8-yzdSaPXGoaAr4DEALw_wcB
straps for battery,2,1.2,https://www.flyrobo.in/readytosky-30cm-nylon-strap-belt-for-rc-lipo-battery?tracking=ads&tracking=4a9a9a&gad_source=1&gad_campaignid=17426303996&gbraid=0AAAAAC6AkE8LqMyqBo_BP-N13Tmb8uZCW&gclid=Cj0KCQjw4qHEBhCDARIsALYKFNNR2V39aOFxw2L91Ggov7n0IDML08MbHx6czVvecN4MagNuTyJMfAcaArQtEALw_wcB
battery for goggles,1,15,https://robu.in/product/pro-range-1000mah-3s-40c80c-lithium-polymer-battery-pack-lipo/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWfCAv8pswTnPKwM5jwbrNMYB&gclid=Cj0KCQjw4qHEBhCDARIsALYKFNO4PxaDHW5SszRTjUmkGZHIzWBl_VvH5Rys6IiuzC3Q1ntksc_dn9AaAtzFEALw_wcB
fresnel lenses,2,6.125,https://www.domo.in/42mm-plano-convex-lenses-for-vr-headsets-with-75mm-focal-length-domo-nhance-lnss4201
,,416.825,
EVERYTHING ROBU I WILL BUY MYSELF,,, 
